,Nom,Rue,Code postal,Type,Numero tel,Prix,Latitude,Longitude
0,Shinjuku Pigalle,"52, rue Condorcet",75009,['Japonais'],+33 1 42 06 18 14,['De 16 à 35 €'],48.88030209999999,2.34318559999997
1,Basique,"164, av. Ledru-Rollin",75011,['Tapas'],+33 1 40 24 20 48,['De 16 à 35 €'],48.85662629999999,2.3794030999999904
2,Gramme,"86, rue des Archives",75003,"['Café / Coffee Shop', 'Snack / Tartes / Salades / Soupes / Bols']",+33 9 50 92 20 23,['Moins de 15 €'],48.86306279999999,2.360760199999959
3,Chinaski,"46, rue Daubenton",75005,"['Café / Coffee Shop', ""Cuisine d'auteur"", 'Néobistrot']",+33 1 73 74 74 06,['De 16 à 35 €'],48.8403583,2.350235600000019
4,Sucrépice,"5, rue d'Arras",75005,['Chinois'],+33 1 72 67 11 74,['Moins de 15 €'],48.84736669999999,2.351738100000034
5,Così,"54, rue de Seine",75006,"['Sandwichs / Bagels', 'Lèche-doigts']",+33 1 46 33 35 36,['Moins de 15 €'],48.8540863,2.3368735000000243
6,Kodawari Yokocho ,"29, rue Mazarine",75006,['Japonais'],+ 33 9 70 91 12 41,['De 16 à 35 €'],48.8546579,2.338127100000065
7,Cuisine,"50, rue Condorcet",75009,"['Néobistrot', 'Bar à vins / Cave à manger']",+33 1 44 63 75 64,['De 16 à 35 €'],48.8804875,2.343314599999985
8,Dumbo,"64, rue Jean-Baptiste Pigalle",75009,['Burgers'],Pas de téléphone. ,['Moins de 15 €'],48.8816541,2.3369591000000582
9,Vermillon,"5, rue de Calais",75009,['Cuisine du marché'],+ 33 1 42 41 49 68,['De 16 à 35 €'],48.8822195,2.3313728000000538
10,CoCo,"1, pl. Jacques-Rouché",75009,"['Brasserie', 'Nourritures mondaines']",+33 1 42 68 86 80,['Plus de 51 €'],48.8720588,2.3322736000000077
11,Restaurant du Badaboum,"2, rue des Taillandiers",75011,"[""Cuisine d'auteur"", 'Cuisine du marché', 'Néobistrot', 'Bar à vins / Cave à manger']",+33 1 85 09 75 46,['De 16 à 35 €'],48.85345299999999,2.3757510000000366
12,Le Chardenoux,"1, rue Jules-Vallès",75011,"['Néobistrot', 'Poissons et fruits de mer']",+33 1 43 71 49 52,['Plus de 51 €'],48.8527401,2.3849338999999645
13,Early June,"19, rue Jean Poulmarch",75010,['Bar à vins / Cave à manger'],+33142854074,['De 16 à 35 €'],48.87291459999999,2.363441200000011
